I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2240		1875	10	25												8	INDONESIA		INDONESIA:  W JAVA:  KUNINGAN	  -6.900	  108.300	60	       7	1						3			1001	4	       7	1						3			1001	4
6184	Tsu	1876	5	28				50	 6.8		 6.8					7	INDONESIA		INDONESIA:  BURU ISLAND, CERAM SEA	  -3.000	  127.250	170								1				3								1				3
6206	Tsu	1882	10	10					 7.5		 7.5						INDONESIA		INDONESIA:  BANDANEIRA	  -4.500	  129.900	170																								
6208	Tsu	1885	4	30					 7.3		 7.3						INDONESIA		INDONESIA:  BURU I, AMBON I, HARUKU I	  -2.500	  127.500	170								1												1	3	1		
6612	Tsu	1885	7	29					 6.8		 6.8						INDONESIA		INDONESIA:  SUMATRA:  AJERBANGIS	       	   99.500	60																								
6210	Tsu	1885	12	14													INDONESIA		INDONESIA:  BANDA ATJEH	   5.550	   95.300	60																								
6553	Tsu	1886	1	31													INDONESIA		INDONESIA:  KOETA RADJA (ATJEH)	   5.600	   95.300	60																								
9895	Tsu	1887	5	19													INDONESIA		INDONESIA:  SUMATRA:  ACEH:  SIGLI	   5.400	   96.000	60																								
6212	Tsu	1888	3	21													INDONESIA		INDONESIA:  SUMATERA:  BREUEH ISLAND	   5.800	   95.000	60																								
6309	Tsu	1889	9	6	12			70	 8.0		 8.0						INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	   1.000	  126.250	170								2		2		1								2		2		1
